street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
7636752,3333977957,25775733,Basque Road,18.289,0.0,18.289,0.0,0.0,0.0,0.0,0.0
32776244,3130600318,3130600317,Dundonald Street,2.153,0.0,2.153,0.0,0.0,0.0,0.0,0.0
859494561,25775735,4388664457,Exmouth Street,5.944,0.0,5.944,0.0,0.0,0.0,0.0,0.0
33612371,3130600313,25775735,Norwich Street,4.858,0.0,4.858,0.0,0.0,0.0,0.0,0.0
859494561,4388664457,4388664464,Exmouth Street,5.822,0.0,5.822,0.0,0.0,0.0,0.0,0.0
859494561,369156993,25775735,Exmouth Street,59.255,0.0,59.255,0.0,0.0,0.0,0.0,0.0
33612371,25775737,4694804730,Norwich Street,1.015,0.0,1.015,0.0,0.0,0.0,0.0,0.0
7636715,4694804731,25775737,Diamond Street,1.011,0.0,1.011,0.0,0.0,0.0,0.0,0.0
33612371,4694804730,4694804733,Norwich Street,1.16,0.0,1.16,0.0,0.0,0.0,0.0,0.0
7636715,25775738,9454319249,Diamond Street,3.568,0.0,3.568,0.0,0.0,0.0,0.0,0.0
7636791,25775738,9454319254,MacAulay Street,8.77,0.0,8.77,0.0,0.0,0.0,0.0,0.0
7636715,9454319249,4388664473,Diamond Street,1.617,0.0,1.617,0.0,0.0,0.0,0.0,0.0
7636715,2755144659,25775738,Diamond Street,6.945,0.0,6.945,0.0,0.0,0.0,0.0,0.0
7636791,9454319254,3559572056,MacAulay Street,43.327,0.0,43.327,0.0,0.0,0.0,0.0,0.0
4282814,25775739,9454319256,Fleet Street,2.907,0.0,2.907,0.0,0.0,0.0,0.0,0.0
4282814,9454319256,25775740,Fleet Street,16.519,0.0,16.519,0.0,0.0,0.0,0.0,0.0
4282814,3123335740,25775739,Fleet Street,29.181,0.0,29.181,0.0,0.0,0.0,0.0,0.0
7636791,9454319246,25775739,MacAulay Street,3.997,0.0,3.997,0.0,0.0,0.0,0.0,0.0
262015263,25775741,2676678350,Fleet Street,9.971,0.0,9.971,0.0,0.0,0.0,0.0,0.0
731889233,25775741,6853587191,Fleet Street,4.619,0.0,4.619,0.0,0.0,0.0,0.0,0.0
262015263,2676678350,3117686637,Fleet Street,94.927,0.0,94.927,0.0,0.0,0.0,0.0,0.0
262015263,3610153508,25775741,Fleet Street,7.727,0.0,7.727,0.0,0.0,0.0,0.0,0.0
7636882,25775745,8011528824,Rendall Place,3.844,0.0,3.844,0.0,0.0,0.0,0.0,0.0
624134357,25775745,3383747268,New North Road,14.012,0.0,14.012,0.0,0.0,0.0,0.0,0.0
7636882,8011528824,3383747266,Rendall Place,4.448,0.0,4.448,0.0,0.0,0.0,0.0,0.0
624134357,3383747268,2674589966,New North Road,11.545,0.0,11.545,0.0,0.0,0.0,0.0,0.0
624134359,5893581174,25775745,New North Road,27.786,0.0,27.786,0.0,0.0,0.0,0.0,0.0
780394981,8011528823,25775745,Ruru Street,5.08,0.0,5.08,0.0,0.0,0.0,0.0,0.0
7636882,25775746,8478445567,Rendall Place,23.677,0.0,23.677,0.0,0.0,0.0,0.0,0.0
7636917,25775746,25775747,Couldry Street,19.4,0.0,19.4,0.0,0.0,0.0,0.0,0.0
7636882,8478445567,60660814,Rendall Place,23.788,0.0,23.788,0.0,0.0,0.0,0.0,0.0
7636882,3610156495,25775746,Rendall Place,8.194,0.0,8.194,0.0,0.0,0.0,0.0,0.0
7636917,25775747,25775748,Couldry Street,74.766,0.0,74.766,0.0,0.0,0.0,0.0,0.0
163772601,25775750,5133678452,New North Road,9.034,0.0,9.034,0.0,0.0,0.0,0.0,0.0
4282815,3383747269,25775750,Charlotte Street,8.22,0.0,8.22,0.0,0.0,0.0,0.0,0.0
163772601,5133678452,9953474688,New North Road,23.779,0.0,23.779,0.0,0.0,0.0,0.0,0.0
624134357,2674589966,25775750,New North Road,46.857,0.0,46.857,0.0,0.0,0.0,0.0,0.0
4282815,25775753,5133678454,Charlotte Street,228.384,0.0,228.384,0.0,0.0,0.0,0.0,0.0
42296155,25775753,2676684653,Charlotte Street,19.103,0.0,19.103,0.0,0.0,0.0,0.0,0.0
4282815,5133678454,8802769334,Charlotte Street,14.427,0.0,14.427,0.0,0.0,0.0,0.0,0.0
42296155,2676684653,25775755,Charlotte Street,3.029,0.0,3.029,0.0,0.0,0.0,0.0,0.0
772336213,266449803,25775753,Virginia Avenue East,31.455,0.0,31.455,0.0,0.0,0.0,0.0,0.0
262015263,4382777212,25775755,Fleet Street,1.52,0.0,1.52,0.0,0.0,0.0,0.0,0.0
772336213,25775757,266449803,Virginia Avenue East,4.716,0.0,4.716,0.0,0.0,0.0,0.0,0.0
